datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,BOA VENTURA,Caatinga,69,0,1,-7.378,-38.174,53.4
2020/09/09 15:35:00,AQUA_M-T,Brasil,CEARA,LIMOEIRO DO NORTE,Caatinga,30,0,1,-5.185,-37.984,61.2
2020/09/09 15:35:00,AQUA_M-T,Brasil,PERNAMBUCO,JABOATAO DOS GUARARAPES,Mata Atlantica,-999,0.2,-999,-8.168,-34.941,16.8
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,56,0,1,-6.907,-38.507,229.7
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,OLHO D'AGUA,Caatinga,53,0,1,-7.334,-37.713,110.1
2020/09/09 15:35:00,AQUA_M-T,Brasil,CEARA,LIMOEIRO DO NORTE,Caatinga,31,0,1,-5.187,-37.976,66
2020/09/09 15:35:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARCELINO VIEIRA,Caatinga,50,0,1,-6.269,-38.253,34
2020/09/09 15:35:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ALEXANDRIA,Caatinga,50,0,1,-6.307,-37.966,53.9
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,56,0,1,-6.891,-38.486,36.1
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,OLHO D'AGUA,Caatinga,53,0,1,-7.335,-37.705,58.8
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,BOA VENTURA,Caatinga,70,0,1,-7.38,-38.181,44.2
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,56,0,1,-6.895,-38.516,149.2
2020/09/09 15:35:00,AQUA_M-T,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,56,0,1,-6.91,-38.513,28.6
2020/09/09 15:40:00,AQUA_M-T,Brasil,CEARA,SANTANA DO ACARAU,Caatinga,62,0,1,-3.345,-40.145,131.5
2020/09/09 15:40:00,AQUA_M-T,Brasil,CEARA,CARIDADE,Caatinga,51,0,1,-4.174,-39.144,58.2
2020/09/09 17:10:00,AQUA_M-T,Brasil,SAO PAULO,PAULO DE FARIA,Mata Atlantica,17,0,1,-20.018,-49.457,35.6
